Data,Confirmados,Recuperados,Obitos
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,1,0,0
2020-05-09,3,0,0
2020-05-10,3,0,0
2020-05-11,3,0,0
2020-05-12,5,0,0
2020-05-13,8,0,0
2020-05-14,9,0,0
2020-05-15,14,0,0
2020-05-16,15,0,1
2020-05-17,16,0,2
2020-05-18,19,0,2
2020-05-19,26,0,2
2020-05-20,28,0,2
2020-05-21,31,3,2
2020-05-22,33,3,2
2020-05-23,34,3,2
2020-05-24,34,3,2
2020-05-25,40,3,2
2020-05-26,46,7,2
2020-05-27,49,10,2
2020-05-28,53,17,2
2020-05-29,61,22,2
2020-05-30,63,22,2
2020-05-31,65,22,2
2020-06-01,72,26,2
2020-06-02,78,33,2
2020-06-03,88,39,2
2020-06-04,88,42,3
2020-06-05,94,44,3
2020-06-06,103,47,3
2020-06-07,105,47,3
2020-06-08,111,50,4
2020-06-09,119,63,4
2020-06-10,125,82,4
2020-06-11,126,82,4
2020-06-12,134,84,4
2020-06-13,134,84,5
2020-06-14,134,84,5
2020-06-15,138,89,5
2020-06-16,139,105,5
2020-06-17,146,113,5
2020-06-18,156,120,5
2020-06-19,158,125,5
2020-06-20,158,125,5
2020-06-21,158,125,5
2020-06-22,165,133,5
2020-06-23,169,139,5
2020-06-24,174,143,5
2020-06-25,174,148,5
2020-06-26,174,150,5
2020-06-27,177,152,5
